EntryID,Supplier Key,Supply Chain,Top 100,BMW Potential,CSCS,IPO SEA Contacted,CompStatus,Supplier Name,BMW Supplier Nr,Main Product Group,Sub Product Group,Product Portfolio,Industry,Core Process,Main Material,Tech Capability Level,Product Complexity,Ownership Structure,Nationality,Street No RA,RegAddressIE,City RA,Province RA,Country RA,Zip Code RA,Parent Company,SEACompany
101,SG1904081049,,,,,Y,Active,Hoffmann Quality Tools Asia Pacific Pte.Ltd.,,MF,39,,,,,,,,,25 International Business Park #02-61/64 German Centre,,Singapore,Singapore,SGP,609916,,
102,TH1904081051,,,,Y,Y,Active,"Honda Foundry (Asian) Co., Ltd.",131132-10,MA,6,"Piston, Block Comp Lower, Aluminium Knuckle",Metal,Casting / Machining,"Steel, Aluminium",M,C,C,Japan,"353 Moo 6, Nongrawieng",Suranaree Industrial Zone,Muang,Nakhon Ratchasima,THA,30000,,
183,SP1907111851,,,,,Y,Active,IBPAP IT and Business Process Management in the Philippines,,,,"Software technology, business process outsourcing",,,,,,T,Filipino,"5th Flr C2 Building 
Bonifacio High Street, BGC",,Taguig,Metro Manila,PHI,,,
20,TH1904081084,,Y,Y,Y,Y,Active,"Ichikoh Industries (Thailand) Co,.Ltd.",,MK,22,Lamp Headlamp Rear Combination Lamp License Plate Headlight,Plastic,Plastic Injection,Plastic,H,A,C,Japan,"7/346 Moo 6, Mabyangporn",Amata City Industrial Estate,Pluakdaeng,Rayong,THA,21140,Valeo,
21,MY1904081085,,Y,,Y,Y,Active,Ichikoh Malaysia Sdn Bhd,233267-10,MK,22,Lamp Headlamp Fog Lamp Rear Combination Lamp Outside Headlight,Plastic,Plastic Injection,Plastic,H,A,C,Japan,Lot PT 627,Nilai Industrial Estate,Nilai,Negeri Sembilan,MYS,71800,Valeo,
103,SG1904081091,,,,,Y,Active,Illuminating Asia SG Pte. Ltd.,,MK,22,Smart Leds,,,,,A,C,Singaporean,,,Singapore,Singapore,SGP,,,
104,TH1904081095,,,,,Y,Active,"IME Thailand Co., Ltd.",,MA,,"alternators, motors, stators",,,,,,,Japan,300 Moo 1 Ladtakean,,,Prachinburi,THA,25110,,
105,TH1904081117,,,,Y,Y,Active,"Ingress Autoventures Co., Ltd.",,MK,4,"Egr Pipe Window Frame Glass Run Molding Pipe Roll, Window Sash",Metal,Sheet Metalforming,Steel,L,C,C,Malaysian,64/6 Moo 4,Eastern Seaboard Industrial Estate,Pluakdaeng,Rayong,THA,21140,,
106,MY1904081120,,,Y,Y,Y,Active,Ingress Engineering Sdn Bhd,,MK,4,"Door In White, Body Panels, Heat Management",Plastic,Plastic Injection,Plastic,L,C,C,Malaysian,,,,,MYS,,,Ingress
107,MY1904081122,,,,,Y,Active,Ingress Precision Sdn Bhd,,MK,4,"Window Frame, Windoe Sash, Roll Forming, Windshield Molding, Window Molding",Metal,Sheet Metalforming,Steel,L,C,C,Malaysian,PT 2475-2476 P.O. Box 45,Kawasan Perindustrian Nilai,Nilai,Negeri Sembilan,MYS,71807,,Ingress
108,MY1904081123,,,,Y,Y,Active,Ingress Technologies Sdn Bhd.,,MK,4,Door Modules,Metal,Sheet Metalforming,Steel,L,C,C,Malaysian,,,,,MYS,,,Ingress
109,SG1904081133,,,,,Y,Active,Institute Of Microelectronics,,MD,34,"Silicon Solid-State Lidar, Mems, Sensors, Actuators, Microsystems",,,,,A,C,Singaporean,,,Singapore,Singapore,SGP,,,
